,CHARACTERISTIC_NAME,CHARACTERISTIC_ID
614,"            Chinese, n.o.s.",691
615,"            Chinese languages, n.i.e.",692
616,          Tibeto-Burman languages,693
617,            Burmese,694
618,            Kuki-Chin languages,695
619,            Karenic languages,696
620,              S'gaw Karen,697
621,"              Karenic languages, n.i.e.",698
622,            Tibetan,699
623,"            Tibeto-Burman languages, n.i.e.",700
624,"          Sino-Tibetan languages, n.i.e.",701
625,        Tai-Kadai languages,702
626,          Lao,703
627,          Thai,704
628,"          Tai-Kadai languages, n.i.e.",705
629,        Turkic languages,706
630,          Azerbaijani,707
631,          Kazakh,708
632,          Turkish,709
633,          Uyghur,710
634,          Uzbek,711
635,"          Turkic languages, n.i.e.",712
636,        Uralic languages,713
637,          Estonian,714
638,          Finnish,715
639,          Hungarian,716
640,"        Other languages, n.i.e.",717
641,  Multiple responses,718
642,    English and French,719
643,    English and non-official language(s),720
644,    French and non-official language(s),721
645,"    English, French and non-official language(s)",722
646,    Multiple non-official languages,723
647,Total - All languages spoken at home for the total population excluding institutional residents - 100% data,724
648,  Non-official language,727
649,    Indigenous,728
650,    Non-Indigenous,729
651,  English and non-official language(s),731
652,  French and non-official language(s),732
653,"  English, French and non-official language(s)",733
654,  Multiple non-official languages,734
655,Total - Language spoken most often at home for the total population excluding institutional residents - 100% data,735
656,Total - Other language(s) spoken regularly at home for the total population excluding institutional residents - 100% data,1066
657,  None,1067
658,Total - Knowledge of languages for the population in private households - 25% sample data,1078
659,  Official languages,1079
660,    English,1080
661,    French,1081
662,  Non-official languages,1082
663,    Indigenous languages,1083
664,      Algonquian languages,1084
665,        Blackfoot,1085
666,        Cree-Innu languages,1086
667,          Atikamekw,1087
668,          Cree languages,1088
669,            Ililimowin (Moose Cree),1089
670,            Inu Ayimun (Southern East Cree),1090
671,            Iyiyiw-Ayimiwin (Northern East Cree),1091
672,            Nehinawewin (Swampy Cree),1092
673,            Nehiyawewin (Plains Cree),1093
674,            Nihithawiwin (Woods Cree),1094
675,"            Cree, n.o.s.",1095
676,          Innu (Montagnais),1096
677,          Naskapi,1097
678,        Eastern Algonquian languages,1098
679,          Mi'kmaq,1099
680,          Wolastoqewi (Malecite),1100
681,        Ojibway-Potawatomi languages,1101
682,          Anicinabemowin (Algonquin),1102
683,          Oji-Cree,1103
684,          Ojibway languages,1104
